timestamp,idx,gpu_util_pct,mem_used_pct
1773592246.320190464,0,0,0.00
1773592246.320190464,1,0,0.00
1773592246.320190464,2,0,0.00
1773592246.320190464,3,0,0.00
1773592247.356229618,0,0,0.00
1773592247.356229618,1,0,0.00
1773592247.356229618,2,0,0.00
1773592247.356229618,3,0,0.00
1773592248.389003395,0,0,0.00
1773592248.389003395,1,0,0.00
1773592248.389003395,2,0,0.00
1773592248.389003395,3,0,0.00
1773592249.423169342,0,0,0.00
1773592249.423169342,1,0,0.00
1773592249.423169342,2,0,0.00
1773592249.423169342,3,0,0.00
1773592250.455548419,0,0,0.00
1773592250.455548419,1,0,0.00
1773592250.455548419,2,0,0.00
1773592250.455548419,3,0,0.00
1773592251.489076822,0,0,0.00
1773592251.489076822,1,0,0.00
1773592251.489076822,2,0,0.00
1773592251.489076822,3,0,0.00
1773592252.523477864,0,0,0.00
1773592252.523477864,1,0,0.00
1773592252.523477864,2,0,0.00
1773592252.523477864,3,0,0.00
1773592253.556474284,0,0,0.00
1773592253.556474284,1,0,0.00
1773592253.556474284,2,0,0.00
1773592253.556474284,3,0,0.00
1773592254.589002910,0,0,0.95
1773592254.589002910,1,0,0.01
1773592254.589002910,2,0,0.01
1773592254.589002910,3,0,0.01
1773592255.620941513,0,0,0.96
1773592255.620941513,1,0,0.01
1773592255.620941513,2,0,0.01
1773592255.620941513,3,0,0.01
1773592256.655174179,0,0,0.96
1773592256.655174179,1,0,0.01
1773592256.655174179,2,0,0.01
1773592256.655174179,3,0,0.01
1773592257.690183487,0,0,0.96
1773592257.690183487,1,0,0.01
1773592257.690183487,2,0,0.01
1773592257.690183487,3,0,0.01
1773592258.723702885,0,0,0.96
1773592258.723702885,1,0,0.01
1773592258.723702885,2,0,0.01
1773592258.723702885,3,0,0.01
1773592259.756481627,0,0,0.96
1773592259.756481627,1,0,0.01
1773592259.756481627,2,0,0.01
1773592259.756481627,3,0,0.01
1773592260.790527815,0,0,0.96
1773592260.790527815,1,0,0.01
1773592260.790527815,2,0,0.01
1773592260.790527815,3,0,0.01
1773592261.824870472,0,0,0.96
1773592261.824870472,1,0,0.01
1773592261.824870472,2,0,0.01
1773592261.824870472,3,0,0.01
1773592262.858519450,0,0,0.96
1773592262.858519450,1,0,0.01
1773592262.858519450,2,0,0.01
1773592262.858519450,3,0,0.01
1773592263.891078506,0,0,0.96
1773592263.891078506,1,0,0.01
1773592263.891078506,2,0,0.01
1773592263.891078506,3,0,0.01
1773592264.923044554,0,0,1.22
1773592264.923044554,1,0,0.01
1773592264.923044554,2,0,0.01
1773592264.923044554,3,0,0.01
1773592265.954447590,0,28,1.22
1773592265.954447590,1,0,0.01
1773592265.954447590,2,0,0.01
1773592265.954447590,3,0,0.01
1773592266.987760231,0,29,1.22
1773592266.987760231,1,0,0.01
1773592266.987760231,2,0,0.01
1773592266.987760231,3,0,0.01
1773592268.021041781,0,28,1.22
1773592268.021041781,1,0,0.01
1773592268.021041781,2,0,0.01
1773592268.021041781,3,0,0.01
1773592269.054125600,0,0,1.22
1773592269.054125600,1,0,0.01
1773592269.054125600,2,0,0.01
1773592269.054125600,3,0,0.01
1773592270.085698427,0,0,1.22
1773592270.085698427,1,0,0.01
1773592270.085698427,2,0,0.01
1773592270.085698427,3,0,0.01
1773592271.118530985,0,0,1.22
1773592271.118530985,1,0,0.01
