Submitted batch job 9166
STARTING SLURM JOB

Mon Feb 23 16:17:23 CET 2026
(30, 30)
iter=0 speedup=0.9359 loss=0.0000e+00 parameters=0 data size=0
                                                              
iter=1 speedup=1.0183 loss=0.0000e+00 parameters=0 data size=0
                                                              
iter=2 speedup=1.0052 loss=0.0000e+00 parameters=0 data size=0
                                                              
iter=3 speedup=0.9942 loss=0.0000e+00 parameters=0 data size=0
                                                              
iter=4 speedup=1.0014 loss=0.0000e+00 parameters=0 data size=0
                                                              
iter=5 speedup=0.9476 loss=0.0000e+00 parameters=0 data size=0
                                                              
iter=6 speedup=0.9779 loss=0.0000e+00 parameters=0 data size=0
                                                              
iter=7 speedup=0.9864 loss=0.0000e+00 parameters=0 data size=0
                                                              
iter=8 speedup=1.0017 loss=0.0000e+00 parameters=0 data size=0
                                                              
iter=9 speedup=1.0090 loss=0.0000e+00 parameters=0 data size=0
                                                              
iter=10 speedup=1.0663 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=11 speedup=1.0039 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=12 speedup=1.0003 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=13 speedup=1.0061 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=14 speedup=1.0015 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=15 speedup=0.9982 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=16 speedup=1.0018 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=17 speedup=0.9949 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=18 speedup=0.9761 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=19 speedup=0.9905 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=20 speedup=1.0016 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=21 speedup=0.9916 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=22 speedup=0.9725 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=23 speedup=0.9949 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=24 speedup=1.0082 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=25 speedup=0.9987 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=26 speedup=0.9904 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=27 speedup=1.0145 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=28 speedup=0.9918 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=29 speedup=0.9810 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=30 speedup=0.9983 loss=0.0000e+00 parameters=0 data size=0
                                                               
