Submitted batch job 9200
STARTING SLURM JOB

Mon Feb 23 19:02:09 CET 2026
(30, 30)
iter=0 speedup=0.9601 loss=0.0000e+00 parameters=0 data size=0
                                                              
iter=1 speedup=1.0133 loss=0.0000e+00 parameters=0 data size=0
                                                              
iter=2 speedup=0.9971 loss=0.0000e+00 parameters=0 data size=0
                                                              
iter=3 speedup=0.9981 loss=0.0000e+00 parameters=0 data size=0
                                                              
iter=4 speedup=1.0207 loss=0.0000e+00 parameters=0 data size=0
                                                              
iter=5 speedup=1.0042 loss=0.0000e+00 parameters=0 data size=0
                                                              
iter=6 speedup=1.0010 loss=0.0000e+00 parameters=0 data size=0
                                                              
iter=7 speedup=0.9966 loss=0.0000e+00 parameters=0 data size=0
                                                              
iter=8 speedup=1.0019 loss=0.0000e+00 parameters=0 data size=0
                                                              
iter=9 speedup=1.0003 loss=0.0000e+00 parameters=0 data size=0
                                                              
iter=10 speedup=1.0035 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=11 speedup=0.9881 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=12 speedup=1.0052 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=13 speedup=1.0089 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=14 speedup=0.9921 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=15 speedup=1.0209 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=16 speedup=1.0004 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=17 speedup=1.0019 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=18 speedup=0.9790 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=19 speedup=0.9833 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=20 speedup=0.9905 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=21 speedup=0.9621 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=22 speedup=1.0221 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=23 speedup=0.9899 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=24 speedup=1.0012 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=25 speedup=1.0015 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=26 speedup=1.0074 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=27 speedup=1.0018 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=28 speedup=1.0123 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=29 speedup=0.9974 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=30 speedup=0.9908 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=31 speedup=0.9762 loss=0.0000e+00 parameters=0 data size=0
                                                               
iter=31 speedup=0.9762 loss=1.0407e+00 parameters=0 data size=0
                                                               
iter=31 speedup=0.9762 loss=9.2489e-01 parameters=0 data size=0
                                                               
iter=31 speedup=0.9762 loss=3.7678e-01 parameters=0 data size=0
                                                               
iter=31 speedup=0.9762 loss=1.1043e+00 parameters=0 data size=0
                                                               
iter=31 speedup=0.9762 loss=7.4110e-01 parameters=0 data size=0
                                                               
iter=31 speedup=0.9762 loss=1.8224e+00 parameters=0 data size=0
                                                               
iter=31 speedup=0.9762 loss=1.0953e+00 parameters=0 data size=0
                                                               
iter=31 speedup=0.9762 loss=6.7560e-01 parameters=0 data size=0
                                                               
iter=31 speedup=0.9762 loss=1.1990e+00 parameters=0 data size=0
                                                               
iter=31 speedup=0.9762 loss=8.5066e-01 parameters=0 data size=0
                                                               
iter=31 speedup=0.9762 loss=7.5967e-01 parameters=0 data size=0
                                                               
iter=31 speedup=0.9762 loss=1.0510e-01 parameters=0 data size=0
                                                               
iter=31 speedup=0.9762 loss=5.9669e-01 parameters=0 data size=0
                                                               
iter=31 speedup=0.9762 loss=6.0063e-01 parameters=0 data size=0
                                                               
iter=31 speedup=0.9762 loss=1.8105e-01 parameters=0 data size=0
                                                               
iter=31 speedup=0.9762 loss=4.4197e-01 parameters=0 data size=0
                                                               
iter=31 speedup=0.9762 loss=2.8370e-01 parameters=0 data size=0
                                                               
iter=31 speedup=0.9762 loss=7.0785e-01 parameters=0 data size=0
                                                               
iter=31 speedup=0.9762 loss=3.9087e-01 parameters=0 data size=0
                                                               
iter=31 speedup=0.9762 loss=5.3965e-01 parameters=0 data size=0
                                                               
iter=31 speedup=0.9762 loss=4.6387e-01 parameters=0 data size=0
                                                               
iter=31 speedup=0.9762 loss=4.4063e-01 parameters=0 data size=0
                                                               
iter=31 speedup=0.9762 loss=4.6285e-01 parameters=0 data size=0
                                                               
iter=31 speedup=0.9762 loss=2.6179e-01 parameters=0 data size=0
