Submitted batch job 9471
STARTING SLURM JOB

Tue Feb 24 16:57:28 CET 2026
(30, 30)
iter=0 speedup=0.0000 loss=1.0339e+00 parameters=0 data size=0
                                                              
iter=0 speedup=0.0000 loss=9.2124e-01 parameters=0 data size=0
                                                              
iter=0 speedup=0.0000 loss=3.7662e-01 parameters=0 data size=0
                                                              
iter=0 speedup=0.0000 loss=1.0990e+00 parameters=0 data size=0
                                                              
iter=0 speedup=0.0000 loss=7.3754e-01 parameters=0 data size=0
                                                              
iter=0 speedup=0.0000 loss=1.7994e+00 parameters=0 data size=0
                                                              
iter=0 speedup=0.0000 loss=1.0886e+00 parameters=0 data size=0
                                                              
iter=0 speedup=0.0000 loss=6.7278e-01 parameters=0 data size=0
                                                              
iter=0 speedup=0.0000 loss=1.1887e+00 parameters=0 data size=0
                                                              
iter=0 speedup=0.0000 loss=8.4724e-01 parameters=0 data size=0
                                                              
iter=0 speedup=0.0000 loss=7.5342e-01 parameters=0 data size=0
                                                              
iter=0 speedup=0.0000 loss=1.0504e-01 parameters=0 data size=0
                                                              
iter=0 speedup=0.0000 loss=5.9338e-01 parameters=0 data size=0
                                                              
iter=0 speedup=0.0000 loss=5.9540e-01 parameters=0 data size=0
                                                              
iter=0 speedup=0.0000 loss=1.7965e-01 parameters=0 data size=0
                                                              
iter=0 speedup=0.0000 loss=4.4017e-01 parameters=0 data size=0
                                                              
iter=0 speedup=0.0000 loss=2.8004e-01 parameters=0 data size=0
                                                              
iter=0 speedup=0.0000 loss=6.9308e-01 parameters=0 data size=0
                                                              
iter=0 speedup=0.0000 loss=3.8847e-01 parameters=0 data size=0
                                                              
iter=0 speedup=0.0000 loss=5.3737e-01 parameters=0 data size=0
                                                              
iter=0 speedup=0.0000 loss=4.5671e-01 parameters=0 data size=0
                                                              
iter=0 speedup=0.0000 loss=4.3560e-01 parameters=0 data size=0
                                                              
iter=0 speedup=0.0000 loss=4.5975e-01 parameters=0 data size=0
                                                              
iter=0 speedup=0.0000 loss=2.5964e-01 parameters=0 data size=0
                                                              
iter=0 speedup=0.0000 loss=3.2329e-01 parameters=0 data size=0
                                                              
iter=0 speedup=0.0000 loss=3.6075e-01 parameters=0 data size=0
                                                              
iter=0 speedup=0.0000 loss=2.3758e-01 parameters=0 data size=0
                                                              
iter=0 speedup=0.0000 loss=3.6443e-01 parameters=0 data size=0
                                                              
iter=0 speedup=0.0000 loss=3.1456e-01 parameters=0 data size=0
                                                              
iter=0 speedup=0.0000 loss=1.1139e+00 parameters=0 data size=0
                                                              
