timestamp,idx,gpu_util_pct,mem_used_pct
1776869930.853042919,0,0,0.00
1776869930.853042919,1,0,0.00
1776869930.853042919,2,0,0.00
1776869930.853042919,3,0,0.00
1776869931.888511240,0,0,0.00
1776869931.888511240,1,0,0.00
1776869931.888511240,2,0,0.00
1776869931.888511240,3,0,0.00
1776869932.923849450,0,0,0.00
1776869932.923849450,1,0,0.00
1776869932.923849450,2,0,0.00
1776869932.923849450,3,0,0.00
1776869933.958090586,0,0,0.00
1776869933.958090586,1,0,0.00
1776869933.958090586,2,0,0.00
1776869933.958090586,3,0,0.00
1776869934.993704397,0,0,0.00
1776869934.993704397,1,0,0.00
1776869934.993704397,2,0,0.00
1776869934.993704397,3,0,0.00
1776869936.028575444,0,0,0.00
1776869936.028575444,1,0,0.00
1776869936.028575444,2,0,0.00
1776869936.028575444,3,0,0.00
1776869937.062111183,0,0,0.00
1776869937.062111183,1,0,0.00
1776869937.062111183,2,0,0.00
1776869937.062111183,3,0,0.00
1776869938.096598791,0,0,0.00
1776869938.096598791,1,0,0.00
1776869938.096598791,2,0,0.00
1776869938.096598791,3,0,0.00
1776869939.130765945,0,0,0.00
1776869939.130765945,1,0,0.00
1776869939.130765945,2,0,0.00
1776869939.130765945,3,0,0.00
1776869940.164903365,0,0,0.09
1776869940.164903365,1,0,0.01
1776869940.164903365,2,0,0.01
1776869940.164903365,3,0,0.01
1776869941.198648419,0,0,0.96
1776869941.198648419,1,0,0.01
1776869941.198648419,2,0,0.01
1776869941.198648419,3,0,0.01
1776869942.231591082,0,0,0.96
1776869942.231591082,1,0,0.01
1776869942.231591082,2,0,0.01
1776869942.231591082,3,0,0.01
1776869943.265216182,0,0,0.96
1776869943.265216182,1,0,0.01
1776869943.265216182,2,0,0.01
1776869943.265216182,3,0,0.01
1776869944.299112154,0,0,0.96
1776869944.299112154,1,0,0.01
1776869944.299112154,2,0,0.01
1776869944.299112154,3,0,0.01
1776869945.333499897,0,0,0.96
1776869945.333499897,1,0,0.01
1776869945.333499897,2,0,0.01
1776869945.333499897,3,0,0.01
1776869946.367041020,0,0,0.96
1776869946.367041020,1,0,0.01
1776869946.367041020,2,0,0.01
1776869946.367041020,3,0,0.01
1776869947.400232659,0,0,0.96
1776869947.400232659,1,0,0.01
1776869947.400232659,2,0,0.01
1776869947.400232659,3,0,0.01
1776869948.434580682,0,0,1.15
1776869948.434580682,1,0,0.01
1776869948.434580682,2,0,0.01
1776869948.434580682,3,0,0.01
1776869949.469054093,0,0,1.22
1776869949.469054093,1,0,0.01
1776869949.469054093,2,0,0.01
1776869949.469054093,3,0,0.01
1776869950.502497389,0,30,1.22
1776869950.502497389,1,0,0.01
1776869950.502497389,2,0,0.01
1776869950.502497389,3,0,0.01
1776869951.535212125,0,30,1.22
1776869951.535212125,1,0,0.01
1776869951.535212125,2,0,0.01
1776869951.535212125,3,0,0.01
1776869952.568608409,0,30,1.22
1776869952.568608409,1,0,0.01
1776869952.568608409,2,0,0.01
1776869952.568608409,3,0,0.01
1776869953.601470125,0,0,1.22
1776869953.601470125,1,0,0.01
1776869953.601470125,2,0,0.01
1776869953.601470125,3,0,0.01
1776869954.635408513,0,0,1.22
1776869954.635408513,1,0,0.01
1776869954.635408513,2,0,0.01
1776869954.635408513,3,0,0.01
1776869955.668420839,0,0,1.22
1776869955.668420839,1,0,0.01
1776869955.668420839,2,0,0.01
1776869955.668420839,3,0,0.01
1776869956.701352505,0,30,1.22
1776869956.701352505,1,0,0.01
1776869956.701352505,2,0,0.01
1776869956.701352505,3,0,0.01
1776869957.735123131,0,30,1.22
1776869957.735123131,1,0,0.01
1776869957.735123131,2,0,0.01
1776869957.735123131,3,0,0.01
1776869958.769212964,0,30,1.22
1776869958.769212964,1,0,0.01
1776869958.769212964,2,0,0.01
1776869958.769212964,3,0,0.01
1776869959.801622894,0,1,1.22
1776869959.801622894,1,0,0.01
1776869959.801622894,2,0,0.01
1776869959.801622894,3,0,0.01
1776869960.834655335,0,0,1.22
1776869960.834655335,1,0,0.01
1776869960.834655335,2,0,0.01
1776869960.834655335,3,0,0.01
1776869961.867605905,0,0,1.22
1776869961.867605905,1,0,0.01
1776869961.867605905,2,0,0.01
1776869961.867605905,3,0,0.01
1776869962.898985488,0,0,1.22
1776869962.898985488,1,0,0.01
1776869962.898985488,2,0,0.01
1776869962.898985488,3,0,0.01
1776869963.932676757,0,0,1.22
1776869963.932676757,1,0,0.01
1776869963.932676757,2,0,0.01
1776869963.932676757,3,0,0.01
1776869964.966315064,0,0,1.22
1776869964.966315064,1,0,0.01
1776869964.966315064,2,0,0.01
1776869964.966315064,3,0,0.01
1776869965.999729465,0,0,1.22
1776869965.999729465,1,0,0.01
1776869965.999729465,2,0,0.01
1776869965.999729465,3,0,0.01
1776869967.034049468,0,0,1.22
1776869967.034049468,1,0,0.01
1776869967.034049468,2,0,0.01
1776869967.034049468,3,0,0.01
1776869968.067679309,0,30,1.22
1776869968.067679309,1,0,0.01
1776869968.067679309,2,0,0.01
1776869968.067679309,3,0,0.01
1776869969.101069140,0,30,1.22
1776869969.101069140,1,0,0.01
1776869969.101069140,2,0,0.01
1776869969.101069140,3,0,0.01
1776869970.133923280,0,30,1.22
1776869970.133923280,1,0,0.01
1776869970.133923280,2,0,0.01
1776869970.133923280,3,0,0.01
1776869971.168012507,0,0,1.22
1776869971.168012507,1,0,0.01
1776869971.168012507,2,0,0.01
1776869971.168012507,3,0,0.01
1776869972.202305338,0,0,1.22
1776869972.202305338,1,0,0.01
1776869972.202305338,2,0,0.01
1776869972.202305338,3,0,0.01
1776869973.235737835,0,0,1.22
1776869973.235737835,1,0,0.01
1776869973.235737835,2,0,0.01
1776869973.235737835,3,0,0.01
1776869974.270099323,0,0,1.22
1776869974.270099323,1,0,0.01
1776869974.270099323,2,0,0.01
1776869974.270099323,3,0,0.01
1776869975.302914782,0,0,1.22
1776869975.302914782,1,0,0.01
1776869975.302914782,2,0,0.01
1776869975.302914782,3,0,0.01
1776869976.336423423,0,0,1.22
1776869976.336423423,1,0,0.01
1776869976.336423423,2,0,0.01
1776869976.336423423,3,0,0.01
1776869977.370685763,0,31,1.22
1776869977.370685763,1,0,0.01
1776869977.370685763,2,0,0.01
1776869977.370685763,3,0,0.01
1776869978.404821534,0,31,1.22
1776869978.404821534,1,0,0.01
1776869978.404821534,2,0,0.01
1776869978.404821534,3,0,0.01
1776869979.438439691,0,31,1.22
1776869979.438439691,1,0,0.01
1776869979.438439691,2,0,0.01
1776869979.438439691,3,0,0.01
1776869980.471336015,0,0,1.22
1776869980.471336015,1,0,0.01
1776869980.471336015,2,0,0.01
1776869980.471336015,3,0,0.01
1776869981.504277279,0,0,1.22
1776869981.504277279,1,0,0.01
1776869981.504277279,2,0,0.01
1776869981.504277279,3,0,0.01
1776869982.536398638,0,0,1.22
1776869982.536398638,1,0,0.01
1776869982.536398638,2,0,0.01
1776869982.536398638,3,0,0.01
1776869983.570444200,0,0,1.22
1776869983.570444200,1,0,0.01
1776869983.570444200,2,0,0.01
1776869983.570444200,3,0,0.01
1776869984.609348444,0,0,1.22
1776869984.609348444,1,0,0.01
1776869984.609348444,2,0,0.01
1776869984.609348444,3,0,0.01
1776869985.643634790,0,2,1.23
1776869985.643634790,1,0,0.01
1776869985.643634790,2,0,0.01
1776869985.643634790,3,0,0.01
1776869986.677454398,0,33,1.23
1776869986.677454398,1,0,0.01
1776869986.677454398,2,0,0.01
1776869986.677454398,3,0,0.01
1776869987.710405275,0,33,1.23
1776869987.710405275,1,0,0.01
1776869987.710405275,2,0,0.01
1776869987.710405275,3,0,0.01
1776869988.741747023,0,33,1.23
1776869988.741747023,1,0,0.01
1776869988.741747023,2,0,0.01
1776869988.741747023,3,0,0.01
1776869989.774813976,0,0,1.23
1776869989.774813976,1,0,0.01
1776869989.774813976,2,0,0.01
1776869989.774813976,3,0,0.01
1776869990.806697431,0,0,1.23
1776869990.806697431,1,0,0.01
1776869990.806697431,2,0,0.01
1776869990.806697431,3,0,0.01
1776869991.841048617,0,0,1.23
1776869991.841048617,1,0,0.01
1776869991.841048617,2,0,0.01
1776869991.841048617,3,0,0.01
1776869992.874369461,0,0,1.23
1776869992.874369461,1,0,0.01
1776869992.874369461,2,0,0.01
1776869992.874369461,3,0,0.01
1776869993.908140113,0,0,1.23
1776869993.908140113,1,0,0.01
1776869993.908140113,2,0,0.01
1776869993.908140113,3,0,0.01
1776869994.942407759,0,0,1.23
1776869994.942407759,1,0,0.01
1776869994.942407759,2,0,0.01
1776869994.942407759,3,0,0.01
1776869995.976185565,0,0,1.23
1776869995.976185565,1,0,0.01
1776869995.976185565,2,0,0.01
1776869995.976185565,3,0,0.01
1776869997.009488673,0,0,1.23
1776869997.009488673,1,0,0.01
1776869997.009488673,2,0,0.01
1776869997.009488673,3,0,0.01
1776869998.043508652,0,0,1.23
1776869998.043508652,1,0,0.01
1776869998.043508652,2,0,0.01
1776869998.043508652,3,0,0.01
1776869999.077418311,0,0,1.23
1776869999.077418311,1,0,0.01
1776869999.077418311,2,0,0.01
1776869999.077418311,3,0,0.01
1776870000.110528099,0,0,1.23
1776870000.110528099,1,0,0.01
1776870000.110528099,2,0,0.01
1776870000.110528099,3,0,0.01
1776870001.144906994,0,0,1.23
1776870001.144906994,1,0,0.01
1776870001.144906994,2,0,0.01
1776870001.144906994,3,0,0.01
1776870002.178503964,0,0,1.23
1776870002.178503964,1,0,0.01
1776870002.178503964,2,0,0.01
1776870002.178503964,3,0,0.01
1776870003.212586289,0,28,1.23
1776870003.212586289,1,0,0.01
1776870003.212586289,2,0,0.01
1776870003.212586289,3,0,0.01
1776870004.245783567,0,35,1.23
1776870004.245783567,1,0,0.01
1776870004.245783567,2,0,0.01
1776870004.245783567,3,0,0.01
1776870005.278977427,0,31,1.23
1776870005.278977427,1,0,0.01
1776870005.278977427,2,0,0.01
1776870005.278977427,3,0,0.01
1776870006.311848753,0,31,1.23
1776870006.311848753,1,0,0.01
1776870006.311848753,2,0,0.01
1776870006.311848753,3,0,0.01
1776870007.346604316,0,0,1.23
1776870007.346604316,1,0,0.01
1776870007.346604316,2,0,0.01
1776870007.346604316,3,0,0.01
1776870008.380392008,0,0,1.23
1776870008.380392008,1,0,0.01
1776870008.380392008,2,0,0.01
1776870008.380392008,3,0,0.01
1776870009.414030648,0,0,1.23
1776870009.414030648,1,0,0.01
1776870009.414030648,2,0,0.01
1776870009.414030648,3,0,0.01
1776870010.447047898,0,0,1.23
1776870010.447047898,1,0,0.01
1776870010.447047898,2,0,0.01
1776870010.447047898,3,0,0.01
1776870011.480662127,0,31,1.23
1776870011.480662127,1,0,0.01
1776870011.480662127,2,0,0.01
