timestamp,idx,gpu_util_pct,mem_used_pct
1780156061.851497183,0,0,0.00
1780156061.851497183,1,0,0.00
1780156062.875731910,0,0,0.00
1780156062.875731910,1,0,0.00
1780156063.898259186,0,0,0.00
1780156063.898259186,1,0,0.00
1780156064.919631872,0,0,0.00
1780156064.919631872,1,0,0.00
1780156065.941617831,0,0,0.00
1780156065.941617831,1,0,0.00
1780156066.963901672,0,0,0.00
1780156066.963901672,1,0,0.00
1780156067.984968509,0,0,0.00
1780156067.984968509,1,0,0.00
1780156069.006400473,0,0,0.00
1780156069.006400473,1,0,0.00
1780156070.028589324,0,0,0.96
1780156070.028589324,1,0,0.01
1780156071.050348106,0,0,0.96
1780156071.050348106,1,0,0.01
1780156072.072236203,0,0,0.96
1780156072.072236203,1,0,0.01
1780156073.093218783,0,0,0.96
1780156073.093218783,1,0,0.01
1780156074.115536570,0,0,0.96
1780156074.115536570,1,0,0.01
1780156075.137078317,0,0,0.96
1780156075.137078317,1,0,0.01
1780156076.160095299,0,0,0.96
1780156076.160095299,1,0,0.01
1780156077.181608601,0,0,0.96
1780156077.181608601,1,0,0.01
1780156078.204134050,0,0,0.96
1780156078.204134050,1,0,0.01
1780156079.225128888,0,0,0.96
1780156079.225128888,1,0,0.01
1780156080.247071325,0,0,0.96
1780156080.247071325,1,0,0.01
1780156081.268584002,0,0,0.96
1780156081.268584002,1,0,0.01
1780156082.290555901,0,0,0.96
1780156082.290555901,1,0,0.01
1780156083.311569253,0,0,0.96
1780156083.311569253,1,0,0.01
1780156084.332364245,0,0,0.96
1780156084.332364245,1,0,0.01
1780156085.352650467,0,0,0.96
1780156085.352650467,1,0,0.01
1780156086.372985092,0,0,0.96
1780156086.372985092,1,0,0.01
1780156087.395179441,0,0,0.96
1780156087.395179441,1,0,0.01
1780156088.415960384,0,0,0.96
1780156088.415960384,1,0,0.01
1780156089.437185021,0,0,0.96
1780156089.437185021,1,0,0.01
1780156090.457963751,0,0,0.96
1780156090.457963751,1,0,0.01
1780156091.479665770,0,0,0.96
1780156091.479665770,1,0,0.01
1780156092.500983371,0,0,0.96
1780156092.500983371,1,0,0.01
1780156093.520852901,0,0,0.96
1780156093.520852901,1,0,0.01
1780156094.543247448,0,0,0.96
